Issue,Severity,Areas,Filename,Assembly,Descriptor,Ignored
"'System.Collections.Generic.List`1<Unit>' allocation","Info","Memory","EconomyAI.cs:137","Assembly-CSharp","Object Allocation","False"
"Closure allocation in 'EconomyAI.CalculateCounterStrength'","Info","Memory","EconomyAI.cs:0","Assembly-CSharp","Closure Allocation","False"
"'System.Func`2<Counter,System.Boolean>' allocation","Info","Memory","EconomyAI.cs:186","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.FirstOrDefault' usage","Moderate","CPU, Memory","EconomyAI.cs:186","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.Contains' usage","Moderate","CPU, Memory","EconomyAI.cs:246","Assembly-CSharp","System.Linq.*","False"
"'System.Predicate`1<Player>' allocation","Info","Memory","TacticsAI.cs:15","Assembly-CSharp","Object Allocation","False"
"'System.Func`2<CandidateAction,System.Single>' allocation","Info","Memory","TacticsAI.cs:93","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.OrderByDescending' usage","Moderate","CPU, Memory","TacticsAI.cs:93","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.First' usage","Moderate","CPU, Memory","TacticsAI.cs:93","Assembly-CSharp","System.Linq.*","False"
"Closure allocation in 'TacticsAI.GenerateAllCandidates'","Info","Memory","TacticsAI.cs:0","Assembly-CSharp","Closure Allocation","False"
"'System.Func`2<Unit,System.Boolean>' allocation","Info","Memory","TacticsAI.cs:161","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Where' usage","Moderate","CPU, Memory","TacticsAI.cs:161","Assembly-CSharp","System.Linq.*","False"
"'System.Func`2<Unit,System.Collections.Generic.IEnumerable`1<CandidateAction>>' allocation","Info","Memory","TacticsAI.cs:161","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.SelectMany' usage","Moderate","CPU, Memory","TacticsAI.cs:161","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.ToList' usage","Moderate","CPU, Memory","TacticsAI.cs:161","Assembly-CSharp","System.Linq.*","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","City.cs:116","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"'String' array allocation","Info","Memory","City.cs:130","Assembly-CSharp","Array Allocation","False"
"'UnityEngine.Object.name' usage","Moderate","Memory","City.cs:130","Assembly-CSharp","UnityEngine.Object.name","False"
"'UnityEngine.Object.name' usage","Moderate","Memory","City.cs:130","Assembly-CSharp","UnityEngine.Object.name","False"
"'System.String.Concat' usage","Info","Memory","City.cs:130","Assembly-CSharp","System.String.Concat","False"
