Issue,Severity,Areas,Filename,Assembly,Descriptor,Ignored
"'System.Linq.Enumerable.Where' usage","Moderate","CPU, Memory","TacticsAI.cs:184","Assembly-CSharp","System.Linq.*","False"
"Closure allocation in '<PlayTurn>d__4.MoveNext'","Info","Memory","TacticsAI.cs:0","Assembly-CSharp","Closure Allocation","False"
"'System.Func`2<CandidateAction,Unit>' allocation","Info","Memory","TacticsAI.cs:35","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.GroupBy' usage","Moderate","CPU, Memory","TacticsAI.cs:35","Assembly-CSharp","System.Linq.*","False"
"'System.Func`2<System.Linq.IGrouping`2<Unit,CandidateAction>,System.Collections.Generic.IEnumerable`1<CandidateAction>>' allocation","Info","Memory","TacticsAI.cs:35","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.SelectMany' usage","Moderate","CPU, Memory","TacticsAI.cs:35","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.ToList' usage","Moderate","CPU, Memory","TacticsAI.cs:35","Assembly-CSharp","System.Linq.*","False"
"'System.Func`2<CandidateAction,System.Single>' allocation","Info","Memory","TacticsAI.cs:40","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.OrderByDescending' usage","Moderate","CPU, Memory","TacticsAI.cs:40","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.First' usage","Moderate","CPU, Memory","TacticsAI.cs:40","Assembly-CSharp","System.Linq.*","False"
"'System.Func`2<Unit,System.Boolean>' allocation","Info","Memory","SelectionController.cs:227","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Any' usage","Moderate","CPU, Memory","SelectionController.cs:227","Assembly-CSharp","System.Linq.*","False"
