Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
178;22020;55.17088;11186.5454730988
179;22021;40.38885;11241.7163562775
180;22022;49.29038;11282.1052036285
181;22023;49.67746;11331.3955860138
182;22024;46.90081;11381.0730457306
183;22025;54.23946;11427.9738521576
184;22026;50.31211;11482.213312149
185;22027;46.26669;11532.5254268646
186;22028;48.98712;11578.7921199799
187;22029;49.52015;11627.7792377472
188;22030;52.25708;11677.2993907928
189;22031;48.24785;11729.5564670563
190;22032;48.448;11777.804315567
191;22033;48.69581;11826.2523136139
192;22034;47.09573;11874.9481220245
193;22035;47.561;11922.0438556671
194;22036;46.50634;11969.6048564911
195;22037;47.16134;12016.1112003326
196;22038;49.30334;12063.2725429535
197;22039;44.49623;12112.5758876801
198;22040;47.23512;12157.0721187592
199;22041;47.51793;12204.3072338104
200;22042;47.28685;12251.8251590729
201;22043;48.8815;12299.1120052338
202;22044;43.85919;12347.9935054779
203;22045;47.48581;12391.8526973724
204;22046;48.82692;12439.3385066986
205;22047;48.29546;12488.165430069
206;22048;46.19631;12536.4608898163
207;22049;47.62992;12582.6571979523
208;22050;46.88746;12630.2871227264
209;22051;47.08615;12677.1745815277
210;22052;47.05004;12724.2607326508
211;22053;46.37966;12771.3107738495
212;22054;46.92634;12817.6904315948
213;22055;47.84288;12864.6167736053
214;22056;46.61142;12912.4596576691
215;22057;46.55423;12959.0710811615
216;22058;48.76688;13005.6253147125
217;22059;44.66666;13054.3921985626
218;22060;49.69685;13099.0588550568
219;22061;45.47961;13148.7557010651
220;22062;46.18061;13194.2353153229
221;22063;48.24531;13240.4159297943
222;22064;50.03435;13288.6612377167
223;22065;43.73927;13338.6955852509
224;22066;48.38281;13382.4348545074
225;22067;46.003;13430.8176631927
226;22068;46.85366;13476.8206615448
227;22069;48.79973;13523.6743183136
228;22070;47.95365;13572.4740505219
229;22071;41.92842;13620.4277019501
230;22072;48.68688;13662.3561267853
231;22073;52.53915;13711.0430088043
232;22074;41.51988;13763.5821590424
233;22075;50.10523;13805.1020412445
234;22076;47.77912;13855.2072734833
235;22077;44.43715;13902.9863910675
236;22078;47.62734;13947.4235439301
237;22079;47.55812;13995.0508861542
238;22080;44.95965;14042.609003067
239;22081;52.20908;14087.568655014
240;22082;44.38046;14139.7777309418
241;22083;45.85954;14184.1581935883
242;22084;47.05696;14230.0177288055
243;22085;48.31704;14277.0746898651
244;22086;45.71804;14325.3917293549
245;22087;50.94634;14371.1097698212
246;22088;45.51469;14422.0561122894
247;22089;46.43;14467.5708026886
248;22090;48.52915;14514.0008029938
249;22091;46.82338;14562.5299549103
250;22092;49.08369;14609.3533382416
251;22093;44.31108;14658.4370288849
252;22094;49.1085;14702.7481060028
253;22095;46.16696;14751.8566074371
254;22096;47.86357;14798.0235691071
255;22097;44.76107;14845.8871440887
256;22098;47.20758;14890.6482181549
257;22099;47.33361;14937.8557949066
258;22100;46.35523;14985.189409256
259;22101;46.87769;15031.5446414948
260;22102;46.83181;15078.422334671
261;22103;46.60888;15125.2541408539
262;22104;47.20481;15171.8630237579
263;22105;47.23392;15219.0678310394
264;22106;46.26119;15266.3017559052
265;22107;46.64204;15312.5629482269
266;22108;48.23546;15359.2049884796
267;22109;45.81396;15407.4404468536
268;22110;48.16185;15453.2544078827
269;22111;45.96881;15501.4162540436
270;22112;48.28492;15547.385061264
271;22113;44.5725;15595.6699848175
272;22114;48.42415;15640.242483139
273;22115;45.92077;15688.6666355133
274;22116;47.23812;15734.5874042511
275;22117;47.54642;15781.8255214691
276;22118;45.59215;15829.3719463348
277;22119;48.43104;15874.9640979767
278;22120;45.86427;15923.3951396942
279;22121;47.94477;15969.2594089508
280;22122;45.72027;16017.2041759491
281;22123;47.9645;16062.9244441986
282;22124;47.4635;16110.8889446259
283;22125;46.08315;16158.3524456024
284;22126;45.55334;16204.4355983734
285;22127;49.36046;16249.9889431
286;22128;44.74754;16299.3494052887
287;22129;47.37196;16344.096944809
288;22130;47.1395;16391.4689044952
289;22131;44.36853;16438.6084041595
290;22132;47.31196;16482.9769382477
291;22133;48.27365;16530.2888965607
292;22134;46.91504;16578.5625514984
293;22135;46.40138;16625.4775905609
294;22136;43.70462;16671.8789730072
295;22137;36.08673;16715.5835895538
296;22138;34.31627;16751.6703205109
297;22139;30.13212;16785.9865894318
298;22140;37.07465;16816.1187057495
