Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";33.16727;32.38673;33.9105;81005;80780;80779;1;1;9915.57846069336;33.16247;33.10035;33.23177;299;1;1;1;299;80757;32.38673;33.9105;80780;80779;33.13939
"TimeUpdate.WaitForLastPresentationAndUpdateTime";25.70877;18.6195;26.83877;80910;80865;80863;2;2;7615.2403793335;25.46903;25.19431;26.05485;299;1;1;1;299;80757;18.6195;26.83877;80865;80863;26.21619
"WaitForLastPresent";25.69508;18.60827;26.82558;80910;80865;80863;3;3;7611.01193618774;25.45489;25.1815;26.04231;299;1;1;1;299;80757;18.60827;26.82558;80865;80863;26.20127
"WaitForTargetFPS";25.69112;18.60427;26.82138;80910;80865;80863;4;4;7609.70217323303;25.45051;25.17727;26.03819;299;1;1;1;299;80757;18.60427;26.82138;80865;80863;26.197
"PostLateUpdate.FinishFrameRendering";5.427039;4.566615;11.89792;81003;80784;80865;2;2;1664.44453859329;5.566704;5.089692;5.740077;299;1;1;1;299;80757;4.566615;11.89792;80784;80865;4.991577
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";5.059961;4.255308;11.51046;80887;80784;80865;3;3;1557.59119558334;5.209335;4.760654;5.392577;299;1;1;1;299;80757;4.255308;11.51046;80784;80865;4.672346
"Inl_UniversalRenderTotal";5.006308;4.202308;11.43781;80952;80784;80865;4;4;1540.42399692535;5.15192;4.68427;5.3385;299;1;1;1;299;80757;4.202308;11.43781;80784;80865;4.619308
"Inl_RenderCameraStack";4.930769;4.135385;11.35108;80926;80784;80865;5;5;1517.8274936676;5.076346;4.61573;5.243962;299;1;1;1;299;80757;4.135385;11.35108;80784;80865;4.547116
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";3.292193;2.771731;6.282923;80933;80757;81024;6;6;1006.65334033966;3.366734;3.077346;3.532538;299;1;1;1;299;80757;2.771731;6.282923;80757;81024;3.294308
"Inl_ScriptableRenderContext.Submit";1.227885;0.916962;6.279231;80791;81025;80865;6;6;414.812459290028;1.387333;1.115962;1.470308;299;1;1;1;299;80757;0.916962;6.279231;81025;80865;0.916962
